0,1,2,4,6,7,12,13,14,15,18,19,activation
-1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,0.010524529032409191
-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,0.010753940790891647
-1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,0.010830847173929214
-1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,0.011171260848641396
-1,-1,-1,-1,1,-1,1,1,1,-1,1,-1,0.010070370199779669
-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,0.010565613706906637
-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,0.010934000834822655
-1,-1,-1,-1,1,-1,1,1,1,1,1,1,0.01003110222518444
-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0.012988708913326263
-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,1,0.013277565749982992
-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,0.011743820272386074
-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,0.01255727931857109
-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0.012433506548404694
-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,0.012902209845681986
-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,0.011978839834531149
-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,0.01217587199062109
-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,0.012448872439563274
-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,0.012827182188630104
-1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,0.011579801328480244
-1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,0.011847393354400992
-1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,0.012179345823824406
-1,-1,-1,-1,1,1,-1,-1,1,1,-1,1,0.012760814279317856
-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,0.011132401181384921
-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,0.011762582696974277
-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0.012129520066082478
-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,0.012433943338692188
